Metric,Value
route__drc_errors__iter:16,1
route__wirelength__iter:16,928705
route__drc_errors__iter:17,1
route__wirelength__iter:17,928704
route__drc_errors__iter:18,1
route__wirelength__iter:18,928704
route__drc_errors__iter:19,1
route__wirelength__iter:19,928705
route__drc_errors__iter:20,1
route__wirelength__iter:20,928704
route__drc_errors__iter:21,1
route__wirelength__iter:21,928704
route__drc_errors__iter:22,1
route__wirelength__iter:22,928719
route__drc_errors__iter:23,0
route__wirelength__iter:23,928731
route__drc_errors,0
route__wirelength,928731
route__vias,196284
route__vias__singlecut,196284
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,1210.75
timing__unannotated_net__count__corner:nom_tt_025C_1v80,242
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,242
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,242
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,40
design__max_fanout_violation__count__corner:min_tt_025C_1v80,575
design__max_cap_violation__count__corner:min_tt_025C_1v80,9
clock__skew__worst_hold__corner:min_tt_025C_1v80,2.919654378680875
clock__skew__worst_setup__corner:min_tt_025C_1v80,5.234695047816752
timing__hold__ws__corner:min_tt_025C_1v80,0.15029045100480182
timing__setup__ws__corner:min_tt_025C_1v80,0.0
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.150290
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,0.000000
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,242
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,784
design__max_fanout_violation__count__corner:min_ss_100C_1v60,575
design__max_cap_violation__count__corner:min_ss_100C_1v60,10
clock__skew__worst_hold__corner:min_ss_100C_1v60,5.496514954315987
clock__skew__worst_setup__corner:min_ss_100C_1v60,9.441236504267309
timing__hold__ws__corner:min_ss_100C_1v60,0.3674696206889622
timing__setup__ws__corner:min_ss_100C_1v60,-4.688328968861463
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-996.6172738050975
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-4.688328968861463
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.660968
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,819
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-4.626738
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,811
timing__unannotated_net__count__corner:min_ss_100C_1v60,242
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,2
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,575
design__max_cap_violation__count__corner:min_ff_n40C_1v95,7
clock__skew__worst_hold__corner:min_ff_n40C_1v95,1.8941087012732816
clock__skew__worst_setup__corner:min_ff_n40C_1v95,3.550816408075363
timing__hold__ws__corner:min_ff_n40C_1v95,-0.0019539925786029597
timing__setup__ws__corner:min_ff_n40C_1v95,0.0
timing__hold__tns__corner:min_ff_n40C_1v95,-0.0019539925786029597
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,-0.0019539925786029597
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,1
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,-0.001954
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,1
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,0.000000
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,242
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,130
design__max_fanout_violation__count__corner:max_tt_025C_1v80,575
design__max_cap_violation__count__corner:max_tt_025C_1v80,26
clock__skew__worst_hold__corner:max_tt_025C_1v80,3.2450261174422814
clock__skew__worst_setup__corner:max_tt_025C_1v80,5.7585067233442935
timing__hold__ws__corner:max_tt_025C_1v80,0.13579449060690232
timing__setup__ws__corner:max_tt_025C_1v80,0.0
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.135794
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,0.000000
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,242
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,1466
