Metric,Value
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,623
design__max_fanout_violation__count__corner:min_tt_025C_1v80,120
design__max_cap_violation__count__corner:min_tt_025C_1v80,188
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2808968415153257
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.281019909741086
timing__hold__ws__corner:min_tt_025C_1v80,0.31421788282905705
timing__setup__ws__corner:min_tt_025C_1v80,29.508531564585173
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.314218
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,42
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,2249
design__max_fanout_violation__count__corner:min_ss_100C_1v60,120
design__max_cap_violation__count__corner:min_ss_100C_1v60,200
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.29323985736298264
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.2933561532281012
timing__hold__ws__corner:min_ss_100C_1v60,0.8787190113152824
timing__setup__ws__corner:min_ss_100C_1v60,29.337407999978684
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.878719
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,32.500050
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,42
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,152
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,120
design__max_cap_violation__count__corner:min_ff_n40C_1v95,188
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.27406916400981035
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.2741947857485995
timing__hold__ws__corner:min_ff_n40C_1v95,0.11218820634472493
timing__setup__ws__corner:min_ff_n40C_1v95,29.580303488354147
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.112188
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,42
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,1212
design__max_fanout_violation__count__corner:max_tt_025C_1v80,120
design__max_cap_violation__count__corner:max_tt_025C_1v80,312
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.2930734904380374
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.29340650184369194
timing__hold__ws__corner:max_tt_025C_1v80,0.3194321564339813
timing__setup__ws__corner:max_tt_025C_1v80,29.499159505635436
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.319432
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,42
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,3366
design__max_fanout_violation__count__corner:max_ss_100C_1v60,120
design__max_cap_violation__count__corner:max_ss_100C_1v60,339
