Metric,Value
route__wirelength__iter:16,500386
route__drc_errors__iter:17,24
route__wirelength__iter:17,500386
route__drc_errors__iter:18,24
route__wirelength__iter:18,500386
route__drc_errors__iter:19,24
route__wirelength__iter:19,500386
route__drc_errors__iter:20,24
route__wirelength__iter:20,500386
route__drc_errors__iter:21,24
route__wirelength__iter:21,500386
route__drc_errors__iter:22,24
route__wirelength__iter:22,500386
route__drc_errors__iter:23,20
route__wirelength__iter:23,500416
route__drc_errors__iter:24,20
route__wirelength__iter:24,500416
route__drc_errors__iter:25,12
route__wirelength__iter:25,500424
route__drc_errors__iter:26,12
route__wirelength__iter:26,500424
route__drc_errors__iter:27,12
route__wirelength__iter:27,500424
route__drc_errors__iter:28,12
route__wirelength__iter:28,500425
route__drc_errors__iter:29,12
route__wirelength__iter:29,500425
route__drc_errors__iter:30,11
route__wirelength__iter:30,500426
route__drc_errors__iter:31,11
route__wirelength__iter:31,500426
route__drc_errors__iter:32,11
route__wirelength__iter:32,500426
route__drc_errors__iter:33,11
route__wirelength__iter:33,500426
route__drc_errors__iter:34,11
route__wirelength__iter:34,500426
route__drc_errors__iter:35,11
route__wirelength__iter:35,500426
route__drc_errors__iter:36,11
route__wirelength__iter:36,500426
route__drc_errors__iter:37,11
route__wirelength__iter:37,500426
route__drc_errors__iter:38,11
route__wirelength__iter:38,500426
route__drc_errors__iter:39,11
route__wirelength__iter:39,500426
route__drc_errors__iter:40,11
route__wirelength__iter:40,500426
route__drc_errors__iter:41,11
route__wirelength__iter:41,500426
route__drc_errors__iter:42,11
route__wirelength__iter:42,500426
route__drc_errors__iter:43,4
route__wirelength__iter:43,500502
route__drc_errors__iter:44,4
route__wirelength__iter:44,500502
route__drc_errors__iter:45,4
route__wirelength__iter:45,500502
route__drc_errors__iter:46,0
route__wirelength__iter:46,500542
route__drc_errors,0
route__wirelength,500542
route__vias,109526
route__vias__singlecut,109526
route__vias__multicut,0
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,2335.27
timing__unannotated_net__count__corner:nom_tt_025C_1v80,67
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,67
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,67
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.3787606446798833
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.3736308590495225
timing__hold__ws__corner:min_tt_025C_1v80,0.15962809303980072
timing__setup__ws__corner:min_tt_025C_1v80,6.553875849750849
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.324305
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,6.553876
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,67
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,1666
