Metric,Value
route__wirelength__iter:17,98641
route__drc_errors__iter:18,136
route__wirelength__iter:18,98563
route__drc_errors__iter:19,46
route__wirelength__iter:19,98646
route__drc_errors__iter:20,28
route__wirelength__iter:20,98631
route__drc_errors__iter:21,21
route__wirelength__iter:21,98693
route__drc_errors__iter:22,17
route__wirelength__iter:22,98747
route__drc_errors__iter:23,10
route__wirelength__iter:23,98774
route__drc_errors__iter:24,10
route__wirelength__iter:24,98774
route__drc_errors__iter:25,10
route__wirelength__iter:25,98774
route__drc_errors__iter:26,10
route__wirelength__iter:26,98774
route__drc_errors__iter:27,10
route__wirelength__iter:27,98805
route__drc_errors__iter:28,1
route__wirelength__iter:28,98815
route__drc_errors__iter:29,1
route__wirelength__iter:29,98814
route__drc_errors__iter:30,1
route__wirelength__iter:30,98815
route__drc_errors__iter:31,1
route__wirelength__iter:31,98815
route__drc_errors__iter:32,1
route__wirelength__iter:32,98815
route__drc_errors__iter:33,1
route__wirelength__iter:33,98815
route__drc_errors__iter:34,1
route__wirelength__iter:34,98815
route__drc_errors__iter:35,1
route__wirelength__iter:35,98814
route__drc_errors__iter:36,1
route__wirelength__iter:36,98815
route__drc_errors__iter:37,1
route__wirelength__iter:37,98814
route__drc_errors__iter:38,1
route__wirelength__iter:38,98814
route__drc_errors__iter:39,1
route__wirelength__iter:39,98815
route__drc_errors__iter:40,1
route__wirelength__iter:40,98814
route__drc_errors__iter:41,1
route__wirelength__iter:41,98814
route__drc_errors__iter:42,1
route__wirelength__iter:42,98814
route__drc_errors__iter:43,1
route__wirelength__iter:43,98814
route__drc_errors__iter:44,1
route__wirelength__iter:44,98814
route__drc_errors__iter:45,1
route__wirelength__iter:45,98814
route__drc_errors__iter:46,1
route__wirelength__iter:46,98814
route__drc_errors__iter:47,1
route__wirelength__iter:47,98814
route__drc_errors__iter:48,0
route__wirelength__iter:48,98868
route__drc_errors,0
route__wirelength,98868
route__vias,24535
route__vias__singlecut,24535
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,665.15
timing__unannotated_net__count__corner:nom_tt_025C_1v80,21
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,21
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,29
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.253920530677739
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2544797222754821
timing__hold__ws__corner:min_tt_025C_1v80,0.35890058607564906
timing__setup__ws__corner:min_tt_025C_1v80,5.898716349000394
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.358901
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,17.583572
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,21
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,218
design__max_fanout_violation__count__corner:min_ss_100C_1v60,5
design__max_cap_violation__count__corner:min_ss_100C_1v60,3
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.25727218306157107
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.2578006492362387
timing__hold__ws__corner:min_ss_100C_1v60,0.96920096913591
