Metric,Value
route__wirelength__iter:17,60040
route__drc_errors__iter:18,434
route__wirelength__iter:18,60062
route__drc_errors__iter:19,202
route__wirelength__iter:19,60089
route__drc_errors__iter:20,172
route__wirelength__iter:20,60175
route__drc_errors__iter:21,142
route__wirelength__iter:21,60195
route__drc_errors__iter:22,103
route__wirelength__iter:22,60257
route__drc_errors__iter:23,88
route__wirelength__iter:23,60293
route__drc_errors__iter:24,88
route__wirelength__iter:24,60294
route__drc_errors__iter:25,64
route__wirelength__iter:25,60296
route__drc_errors__iter:26,64
route__wirelength__iter:26,60296
route__drc_errors__iter:27,56
route__wirelength__iter:27,60386
route__drc_errors__iter:28,54
route__wirelength__iter:28,60388
route__drc_errors__iter:29,47
route__wirelength__iter:29,60413
route__drc_errors__iter:30,47
route__wirelength__iter:30,60413
route__drc_errors__iter:31,47
route__wirelength__iter:31,60413
route__drc_errors__iter:32,47
route__wirelength__iter:32,60413
route__drc_errors__iter:33,45
route__wirelength__iter:33,60410
route__drc_errors__iter:34,45
route__wirelength__iter:34,60410
route__drc_errors__iter:35,39
route__wirelength__iter:35,60453
route__drc_errors__iter:36,27
route__wirelength__iter:36,60572
route__drc_errors__iter:37,27
route__wirelength__iter:37,60572
route__drc_errors__iter:38,26
route__wirelength__iter:38,60566
route__drc_errors__iter:39,25
route__wirelength__iter:39,60542
route__drc_errors__iter:40,20
route__wirelength__iter:40,60541
route__drc_errors__iter:41,11
route__wirelength__iter:41,60543
route__drc_errors__iter:42,11
route__wirelength__iter:42,60543
route__drc_errors__iter:43,8
route__wirelength__iter:43,60635
route__drc_errors__iter:44,8
route__wirelength__iter:44,60635
route__drc_errors__iter:45,8
route__wirelength__iter:45,60635
route__drc_errors__iter:46,1
route__wirelength__iter:46,60697
route__drc_errors__iter:47,1
route__wirelength__iter:47,60697
route__drc_errors__iter:48,1
route__wirelength__iter:48,60697
route__drc_errors__iter:49,1
route__wirelength__iter:49,60697
route__drc_errors__iter:50,1
route__wirelength__iter:50,60697
route__drc_errors__iter:51,1
route__wirelength__iter:51,60697
route__drc_errors__iter:52,1
route__wirelength__iter:52,60697
route__drc_errors__iter:53,1
route__wirelength__iter:53,60697
route__drc_errors__iter:54,1
route__wirelength__iter:54,60777
route__drc_errors__iter:55,0
route__wirelength__iter:55,60775
route__drc_errors,0
route__wirelength,60775
route__vias,15463
route__vias__singlecut,15463
route__vias__multicut,0
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,427.995
timing__unannotated_net__count__corner:nom_tt_025C_1v80,35
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,35
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,35
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,9
design__max_fanout_violation__count__corner:min_tt_025C_1v80,7
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25762037676751676
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2568723917390967
timing__hold__ws__corner:min_tt_025C_1v80,0.29854231043413165
timing__setup__ws__corner:min_tt_025C_1v80,13.547066962770558
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.298542
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,13.547067
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,35
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,84
design__max_fanout_violation__count__corner:min_ss_100C_1v60,7
design__max_cap_violation__count__corner:min_ss_100C_1v60,1
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.25970423768809814
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.2600122135638393
timing__hold__ws__corner:min_ss_100C_1v60,0.8195267474383546
timing__setup__ws__corner:min_ss_100C_1v60,7.779558550888018
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.819527
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,7.779559
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,35
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,7
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.2561415596568922
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.2551827710257095
timing__hold__ws__corner:min_ff_n40C_1v95,0.11399087552079176
timing__setup__ws__corner:min_ff_n40C_1v95,14.50876260200313
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.113991
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,18.993507
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,35
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,21
design__max_fanout_violation__count__corner:max_tt_025C_1v80,7
