Metric,Value
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,57
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,65
design__max_fanout_violation__count__corner:min_tt_025C_1v80,154
design__max_cap_violation__count__corner:min_tt_025C_1v80,10
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4017712665169272
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.40258472695007624
timing__hold__ws__corner:min_tt_025C_1v80,0.3054137029724779
timing__setup__ws__corner:min_tt_025C_1v80,7.186344167593055
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.305414
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,7.186344
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,57
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,560
design__max_fanout_violation__count__corner:min_ss_100C_1v60,154
design__max_cap_violation__count__corner:min_ss_100C_1v60,13
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.4906171163754681
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.49139604887157484
timing__hold__ws__corner:min_ss_100C_1v60,0.8344860594286859
timing__setup__ws__corner:min_ss_100C_1v60,-9.4483445963612
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-836.7179257391782
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-9.4483445963612
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.834486
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,320
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-9.448344
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,320
timing__unannotated_net__count__corner:min_ss_100C_1v60,57
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,7
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,154
design__max_cap_violation__count__corner:min_ff_n40C_1v95,10
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.36229950620609136
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.3631267334051352
timing__hold__ws__corner:min_ff_n40C_1v95,0.10919532254144712
timing__setup__ws__corner:min_ff_n40C_1v95,13.80368214358315
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.109195
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,13.803682
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,57
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,169
design__max_fanout_violation__count__corner:max_tt_025C_1v80,154
design__max_cap_violation__count__corner:max_tt_025C_1v80,30
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.46153990269339
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.4647682092956978
timing__hold__ws__corner:max_tt_025C_1v80,0.3114122381441778
timing__setup__ws__corner:max_tt_025C_1v80,6.057385875453623
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.311412
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,6.057386
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,57
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,949
design__max_fanout_violation__count__corner:max_ss_100C_1v60,154
design__max_cap_violation__count__corner:max_ss_100C_1v60,37
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.570944863103391
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.5740523774372033
timing__hold__ws__corner:max_ss_100C_1v60,0.8458127770908581
timing__setup__ws__corner:max_ss_100C_1v60,-11.47453187167287
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-1427.7695021504464
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-11.47453187167287
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.845813
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,498
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-11.474532
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,498
timing__unannotated_net__count__corner:max_ss_100C_1v60,57
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,42
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,154
design__max_cap_violation__count__corner:max_ff_n40C_1v95,30
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.4048969885088583
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.40816903789957343
timing__hold__ws__corner:max_ff_n40C_1v95,0.10901835298631683
timing__setup__ws__corner:max_ff_n40C_1v95,12.992256527251147
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.109018
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,12.992256
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,57
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,57
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79992
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000812234
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000077434
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00000683207
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000077434
design_powergrid__voltage__worst,0.000077434
design_powergrid__voltage__worst__net:VPWR,1.79992
design_powergrid__drop__worst,0.0000812234
design_powergrid__drop__worst__net:VPWR,0.0000812234
design_powergrid__voltage__worst__net:VGND,0.000077434
design_powergrid__drop__worst__net:VGND,0.000077434
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00000675999999999999965174558858027609176133410073816776275634765625
ir__drop__worst,0.00008119999999999999505499725938051369666936807334423065185546875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
